Buvo rasti tokie URL: 
vilnius.lt
https://en.wikipedia.org/wiki/Vilnius
http://en.wikipedia.org/wiki/Vilnius
wikipedia.org/wiki/Vilnius
www.wikipedia.org
www.govilnius.lt
Zodziai:             Zodziu kiekis:      Zodziai yra tokiose eilutese:
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
a                   |      31     |      111 115 118 121 123 125 128 133 135 138 139 143 146 150 164 166 171 180 191 193 195 199 201 203 210 215 218 220 230 232 234 
about               |      5      |      154 164 199 208 218 
according           |      5      |      115 121 180 199 201 
act                 |      4      |      184 187 208 228 
administration      |      2      |      201 205 
adopted             |      3      |      184 201 208 
after               |      15     |      111 125 135 146 169 180 191 193 199 206 208 212 215 220 227 
again               |      3      |      174 191 230 
against             |      4      |      191 201 218 225 
all                 |      4      |      54  180 201 208 
almost              |      2      |      201 227 
along               |      2      |      118 210 
also                |      3      |      118 152 218 
although            |      2      |      118 193 
among               |      2      |      169 215 
an                  |      9      |      109 118 146 164 171 184 193 201 230 
and                 |      56     |      14  16  18  23  24  31  32  109 111 113 115 116 118 121 123 125 129 130 133 135 138 141 143 144 146 150 152 154 160 162 164 166 169 171 174 176 178 180 184 187 191 193 199 201 205 208 210 215 218 220 223 225 227 230 232 234 
annexed             |      3      |      169 199 215 
antanas             |      2      |      201 208 
april               |      3      |      17  169 220 
area                |      4      |      68  96  109 199 
areas               |      2      |      230 232 
arm                 |      2      |      172 174 
arms                |      2      |      37  38  
army                |      10     |      143 187 191 193 206 210 213 215 220 225 
arrested            |      2      |      215 220 
article             |      5      |      3   16  17  18  127 
as                  |      22     |      109 111 113 121 137 138 146 152 164 166 171 174 184 187 193 201 203 215 218 220 230 232 
at                  |      8      |      121 139 141 143 146 166 191 199 
attacks             |      3      |      138 143 150 
attempt             |      2      |      146 220 
august              |      2      |      212 215 
augustus            |      2      |      150 154 
autonomy            |      2      |      171 184 
baltic              |      3      |      52  109 205 
battle              |      2      |      191 220 
be                  |      6      |      18  121 123 152 195 215 
became              |      4      |      169 193 199 218 
because             |      3      |      180 208 232 
becoming            |      2      |      199 201 
been                |      4      |      121 137 171 227 
before              |      3      |      113 166 220 
began               |      6      |      133 210 212 218 225 230 
being               |      2      |      199 208 
belarus             |      3      |      146 210 230 
belarusian          |      2      |      118 201 
belarusians         |      2      |      201 230 
bell                |      2      |      23  24  
between             |      4      |      150 215 220 227 
billion             |      3      |      88  89  97  
brutally            |      2      |      180 220 
building            |      2      |      182 184 
